led1.x,led1.y,led2.x,led2.y,led3.x,led3.y,led4.x,led4.y,temperatura,tempo
98.9863854486,495.589011456,99.1967967518,163.621406788,319.594128331,164.706278216,321.351703793,494.951587558,25,33.907640934
98.9937219284,495.588788802,99.2310361801,163.620868789,319.592221501,164.692000784,321.342341202,494.944927003,25,33.9665570259
99.0066391119,495.601067582,99.220937976,163.622053771,319.578690995,164.690486948,321.362337576,494.949084538,25,34.036509037
98.997361083,495.564856206,99.2230361877,163.6252677,319.556395551,164.702404754,321.3520754,494.959778498,25,34.1222598553
98.9783143367,495.585768483,99.2230429772,163.627797928,319.583045506,164.692781639,321.35225312,494.951915093,25,34.1843390465
98.9829766739,495.582715926,99.2125983416,163.63296244,319.570923255,164.696996249,321.34656798,494.947621178,25,34.2343149185
98.9847508791,495.59242188,99.243171939,163.629531785,319.568590077,164.68281109,321.352186669,494.954662743,25,34.2931370735
98.9928340406,495.608040618,99.2067787522,163.602140266,319.639579207,164.658898072,321.356688724,494.94632367,25,34.3768799305
98.9802454881,495.591708015,99.2173553426,163.61055733,319.621430583,164.654994838,321.341533122,494.960698175,25,34.4389388561
98.9741747193,495.592818365,99.1825333473,163.618063642,319.635301492,164.644701832,321.354542736,494.93875693,25,34.497084856
98.9877012133,495.60535076,99.2058155376,163.60027282,319.613982564,164.668521715,321.361266739,494.963379933,25,34.5476438999
98.9421565457,495.598097702,99.2258099471,163.595063755,319.606137609,164.654203634,321.359209726,494.956718791,25,34.6254599094
98.9698377486,495.610354513,99.2215102299,163.6103345,319.63775119,164.664879748,321.369263939,494.94219825,25,34.6805028915
98.9695880968,495.585826586,99.2228345239,163.611394145,319.640526202,164.650063159,321.354974422,494.960052658,25,34.7319560051
98.996220451,495.587949557,99.2176307903,163.59561446,319.622396125,164.63890705,321.363873327,494.941224056,25,34.7886779308
98.9840701121,495.592515824,99.2118142904,163.616676926,319.608682223,164.652647854,321.364435188,494.953659463,25,34.8437008858
98.9670753012,495.598489562,99.2216407682,163.611372172,319.592561267,164.663267187,321.360519196,494.953941125,25,34.9135630131
98.9850442327,495.596388147,99.2391204161,163.621239055,319.614189515,164.668685713,321.346591529,494.946968692,25,34.9632818699
99.0058989263,495.578053271,99.2248849813,163.596979702,319.619988346,164.659026253,321.349668486,494.958009208,25,35.0209538937
98.9762660407,495.597076804,99.2226910797,163.62114913,319.608545472,164.640867108,321.360614263,494.956657605,25,35.0910670757
98.9762277337,495.608827615,99.1980199253,163.601068685,319.629491677,164.657415389,321.356724698,494.949872279,25,35.1484999657
